         7002162 function calls (6892138 primitive calls) in 114.350 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      368    0.093    0.000  111.588    0.303 /home/logan/persona-research-internship/LLM_Categorical_Hierarchical_Representations/hierarchical/category.py:197(estimate_cat_dir)
      368    0.307    0.001  106.660    0.290 /home/logan/persona-research-internship/LLM_Categorical_Hierarchical_Representations/hierarchical/category.py:140(estimate_single_dir_from_embeddings)
      368    0.191    0.001   41.869    0.114 /home/logan/persona-research-internship/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:2163(pinv)
      368   40.869    0.111   41.189    0.112 /home/logan/persona-research-internship/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1659(svd)
      736   31.953    0.043   31.953    0.043 {built-in method torch._C._linalg.linalg_matrix_rank}
      736    6.576    0.009   12.765    0.017 /home/logan/persona-research-internship/.venv/lib/python3.12/site-packages/torch/_tensor.py:1165(__contains__)
      736    6.680    0.009    6.680    0.009 {built-in method torch.isnan}
      736    6.255    0.008    6.255    0.008 {built-in method torch.tensor}
      736    6.184    0.008    6.184    0.008 {method 'any' of 'torch._C.TensorBase' objects}
      368    3.505    0.010    4.607    0.013 /home/logan/persona-research-internship/LLM_Categorical_Hierarchical_Representations/hierarchical/category.py:120(get_category_embeddings)
 1104/368    0.012    0.000    4.356    0.012 /home/logan/persona-research-internship/.venv/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:182(wrapper)
      368    0.002    0.000    4.282    0.012 /home/logan/persona-research-internship/.venv/lib/python3.12/site-packages/sklearn/covariance/_shrunk_covariance.py:405(ledoit_wolf)
      368    0.003    0.000    4.279    0.012 /home/logan/persona-research-internship/.venv/lib/python3.12/site-packages/sklearn/base.py:1456(wrapper)
      368    0.095    0.000    4.220    0.011 /home/logan/persona-research-internship/.venv/lib/python3.12/site-packages/sklearn/covariance/_shrunk_covariance.py:581(fit)
      368    0.044    0.000    3.920    0.011 /home/logan/persona-research-internship/.venv/lib/python3.12/site-packages/sklearn/covariance/_shrunk_covariance.py:27(_ledoit_wolf)
      368    3.183    0.009    3.320    0.009 /home/logan/persona-research-internship/.venv/lib/python3.12/site-packages/sklearn/covariance/_shrunk_covariance.py:291(ledoit_wolf_shrinkage)
     8841    0.026    0.000    2.492    0.000 /home/logan/.local/share/uv/python/cpython-3.12.0-linux-x86_64-gnu/lib/python3.12/logging/__init__.py:1529(info)
     8834    0.024    0.000    2.459    0.000 /home/logan/.local/share/uv/python/cpython-3.12.0-linux-x86_64-gnu/lib/python3.12/logging/__init__.py:1660(_log)
     8834    0.010    0.000    2.040    0.000 /home/logan/.local/share/uv/python/cpython-3.12.0-linux-x86_64-gnu/lib/python3.12/logging/__init__.py:1686(handle)
